Name,Designation,Location,Company
AJ Abdallat,CEO,"Los Angeles, CA",Beyond Limits
Aamir Paul,"President, North America","Boston, MA",Schneider Electric
Aaron Mendes,CEO and Cofounder,"Los Angeles, CA",PrivacyHawk
Aaron Martin,"Vice President, Healthcare","Seattle, WA",Providence
Aaron Skonnard,CEO and Co-founder,"Salt Lake City, UT",Pluralsight
Aaron Vick,Former CEO. Lifelong introvert. Avid technology evangelist. Unapologetic nerd. Best Selling Author. Inventor.,"Jackson, MS",AaronVick.com
Aaron Labbé,Chief Technology Officer & Co-Founder,"Toronto, ON, Canada",LUCID
Aaron Burciaga,"Co-founder, chairman and CEO","Washington, DC",DataPrime
Aaron Harris,CTO,"Atlanta, GA",Sage
Aaron Patzer,Founder & CEO,"Auckland, New Zealand",Vital
Aaron White,Co-founder and Chief Architect,"Miami, FL",Vendr
Aaron Lazor,CEO,"Tel Aviv-Yafo, Israel",MyChargeBack
Aarti Joshi,Co-Founder & CEO,"Chicago, IL",Modak Analytics
Aatish M,Founder,"Seattle, WA",Strac
Ab Gaur,Founder & CEO,Singapore,Verticurl (a WPP Company)
Abakar Saidov,CEO,"London, UK",Beamery
Abdul Subhani,President & CEO,"Austin, TX",Centex Technologies
Abdullah Snobar,Executive Director & CEO,"Toronto, ON, Canada",The DMZ
Abe Ankumah,"VP & GM, SASE","San Francisco, CA",VMware
Abha Dogra,"SVP Digital Technology, Chief Architect and CIO North America","Boston, MA",Schneider Electric
Abhay Mitra,CTO & Co-founder,"San Francisco, CA",Nirvana Tech Inc
Abhay Gupta,Co-founder & CEO,"Los Altos, CA",Bidgely
Abhi Gite,VP Technology,"Houston, TX",Unum
Abhijay Bhatnagar,President and Co-Founder,"New York, NY",Cloaked
Abhijeet Shenoi,Founding Engineer (Head of Machine Learning),"San Francisco, CA",Hakimo Inc
Abhijit Mazumder,Chief Information Officer,"Mumbai, Maharashtra, India",Tata Consultancy Services
Abhik Biswas,Co-Founder & Chief Technology Officer,"Bengaluru, Karnataka, India",Prakat Solutions Inc.
Abhinand Chincholi,President & CEO,"Scottsdale, AZ",OneOrigin Inc.
Abhinav Shashank,Co-founder and Chief Executive Officer,"San Francisco, CA",Innovaccer Inc.
Abhishek Kaushik,CEO & Co-founder,"San Francisco, CA",WeCP (We Create Problems)
Abhishek Trigunait,CTO & Managing Principal,"Pune, Maharashtra, India",ZS Associates Inc
Abhishek Humbad,Founder & CEO,"San Francisco, CA",Goodera
Abhishek Pakhira,Chief Operating Officer,"Greenwood Village, CO",Aureus Tech Systems
Abhishek Rajagopal,CEO,"Chennai, Tamil Nadu, India",Togai Inc.
Achin Bhowmik,Chief Technology Officer and Executive Vice President of Engineering,"Eden Prairie, MN",Starkey
Adam Lieberman,Head of Artificial Intelligence & Machine Learning,"Atlanta, GA",Finastra
Adam Famularo,Chief Executive Officer,"New York, NY",WorkFusion
Adam Ayers,"Consultant - E-Commerce (Shopify Plus), Product Management, Digital Marketing (Facebook Ads, SEO)","Los Angeles, CA",Number 5
Adam Honig,Co-Founder and CEO,"Boston, MA",Spiro.AI
Adam Bayaa,Vice President of Information Technology/Security Officer,"Los Angeles, CA",Heal
Adam Robinson,Founder/CEO,"Austin, TX",Retention.com
Adam Bryant,CEO,"San Francisco, CA",AxleHire
Adam Prout,"Chief Technology Officer, and Co-Founder","Round Hill, VA 20141",SingleStore
Adam Tornhill,"Founder, CTO","Malmö, Sweden",CodeScene
Adam Blue,CTO,"Austin, TX",Q2
Adam Stern,Founder/CEO,"Los Angeles, CA",Infinitely Virtual
Adam Sandman,Founder & CEO,"Washington, DC",Inflectra Corporation
Adarsh Nair,"CEO, Airtel Digital and Chief Product Officer, Airtel","Seattle, WA",Airtel
Name,Designation,Location,Company
AJ Abdallat,CEO,"Los Angeles, CA",Beyond Limits
Aamir Paul,"President, North America","Boston, MA",Schneider Electric
Aaron Mendes,CEO and Cofounder,"Los Angeles, CA",PrivacyHawk
Aaron Martin,"Vice President, Healthcare","Seattle, WA",Providence
Aaron Skonnard,CEO and Co-founder,"Salt Lake City, UT",Pluralsight
Aaron Vick,Former CEO. Lifelong introvert. Avid technology evangelist. Unapologetic nerd. Best Selling Author. Inventor.,"Jackson, MS",AaronVick.com
Aaron Labbé,Chief Technology Officer & Co-Founder,"Toronto, ON, Canada",LUCID
Aaron Burciaga,"Co-founder, chairman and CEO","Washington, DC",DataPrime
Aaron Harris,CTO,"Atlanta, GA",Sage
Aaron Patzer,Founder & CEO,"Auckland, New Zealand",Vital
Aaron White,Co-founder and Chief Architect,"Miami, FL",Vendr
Aaron Lazor,CEO,"Tel Aviv-Yafo, Israel",MyChargeBack
Aarti Joshi,Co-Founder & CEO,"Chicago, IL",Modak Analytics
Aatish M,Founder,"Seattle, WA",Strac
Ab Gaur,Founder & CEO,Singapore,Verticurl (a WPP Company)
Abakar Saidov,CEO,"London, UK",Beamery
Abdul Subhani,President & CEO,"Austin, TX",Centex Technologies
Abdullah Snobar,Executive Director & CEO,"Toronto, ON, Canada",The DMZ
Abe Ankumah,"VP & GM, SASE","San Francisco, CA",VMware
Abha Dogra,"SVP Digital Technology, Chief Architect and CIO North America","Boston, MA",Schneider Electric
Abhay Mitra,CTO & Co-founder,"San Francisco, CA",Nirvana Tech Inc
Abhay Gupta,Co-founder & CEO,"Los Altos, CA",Bidgely
Abhi Gite,VP Technology,"Houston, TX",Unum
Abhijay Bhatnagar,President and Co-Founder,"New York, NY",Cloaked
Abhijeet Shenoi,Founding Engineer (Head of Machine Learning),"San Francisco, CA",Hakimo Inc
Abhijit Mazumder,Chief Information Officer,"Mumbai, Maharashtra, India",Tata Consultancy Services
Abhik Biswas,Co-Founder & Chief Technology Officer,"Bengaluru, Karnataka, India",Prakat Solutions Inc.
Abhinand Chincholi,President & CEO,"Scottsdale, AZ",OneOrigin Inc.
Abhinav Shashank,Co-founder and Chief Executive Officer,"San Francisco, CA",Innovaccer Inc.
Abhishek Kaushik,CEO & Co-founder,"San Francisco, CA",WeCP (We Create Problems)
Abhishek Trigunait,CTO & Managing Principal,"Pune, Maharashtra, India",ZS Associates Inc
Abhishek Humbad,Founder & CEO,"San Francisco, CA",Goodera
Abhishek Pakhira,Chief Operating Officer,"Greenwood Village, CO",Aureus Tech Systems
Abhishek Rajagopal,CEO,"Chennai, Tamil Nadu, India",Togai Inc.
Achin Bhowmik,Chief Technology Officer and Executive Vice President of Engineering,"Eden Prairie, MN",Starkey
Adam Lieberman,Head of Artificial Intelligence & Machine Learning,"Atlanta, GA",Finastra
Adam Famularo,Chief Executive Officer,"New York, NY",WorkFusion
Adam Ayers,"Consultant - E-Commerce (Shopify Plus), Product Management, Digital Marketing (Facebook Ads, SEO)","Los Angeles, CA",Number 5
Adam Honig,Co-Founder and CEO,"Boston, MA",Spiro.AI
Adam Bayaa,Vice President of Information Technology/Security Officer,"Los Angeles, CA",Heal
Adam Robinson,Founder/CEO,"Austin, TX",Retention.com
Adam Bryant,CEO,"San Francisco, CA",AxleHire
Adam Prout,"Chief Technology Officer, and Co-Founder","Round Hill, VA 20141",SingleStore
Adam Tornhill,"Founder, CTO","Malmö, Sweden",CodeScene
Adam Blue,CTO,"Austin, TX",Q2
Adam Stern,Founder/CEO,"Los Angeles, CA",Infinitely Virtual
Adam Sandman,Founder & CEO,"Washington, DC",Inflectra Corporation
Adarsh Nair,"CEO, Airtel Digital and Chief Product Officer, Airtel","Seattle, WA",Airtel
Adeel Sarwar,CTO,"Franklin Township, NJ",CareCloud
Adeoluwa Akomolafe,Chief Information Officer,"Lagos, Nigeria",Wema Bank
Adhish Kulkarni,Senior Vice President & General Manager,United Kingdom,Evolving Systems
Adi Ekshtain,Co-Founder,"West Palm Beach, FL",Amaryllis Payment Solutions
Adi Ikan,Co-Founder & CEO,"Tel Aviv-Yafo, Israel",Veriti Security
Dr. Adi Hod,CEO,"Tel Aviv-Yafo, Israel",Velotix
Adi Paz,CEO,Israel,Gigaspaces
Adib Naslé,CEO & Co-Founder,"San Diego, CA",XENDEE
Adil Shabbir,Chief Product & Technology Officer,"San Francisco, CA",Atlas
Aditya Malik,Founder & CEO,"Bengaluru, Karnataka, India",ValueMatrix.ai
Aditya Ranjan,"Co-founder, COO & CPO","Mountain View, CA",Cardinal Robotics
Adnan Asar,CEO,"San Francisco, CA","Lucid Lane, Inc"
Adrian McDermott,Chief Technology Officer,"San Francisco, CA",Zendesk
Adrian Gregory,EMEA President,"London, UK",Insight
Adrian Carr,CEO & Board Advisor,"Reading, UK",Stibo Systems
Adrian Dunkley,Founder/CEO,Jamaica,StarApple AI
Adrian Gomez,CEO and Founder,"Miami, FL",Elaniin
Agur Jõgi,CTO,"London, UK",Pipedrive
Ahmed Zaidi,"CEO, Chief Automation Officer","New York, NY",Accelirate
Ahmer Inam,Chief Artificial Intelligence Officer,"Portland, OR",Pactera EDGE
Ahsan Jamil,Managing Partner,Pakistan,sAi Ventures
Aidan Connolly,"President of AgriTech Capital LLC an advisory, consultant, investor in startups. Author.","Wilmington, NC",AgriTech Capital
Aidin Aghamiri,CEO,"San Francisco, CA",ITRenew
Ainsley MacLean,Chief Medical Information Officer,"Washington, DC",Mid-Atlantic Permanente Medical Group I Kaiser Permanente Mid-Atlantic States
Ajai Sehgal,Chief Data & Analytics Officer,"Seattle, WA",Mayo Clinic
Ajay Yadav,Co-Founder,"Los Angeles, CA",Simplified
Ajay Jotwani,CEO,"San Ramon, CA",i2Chain
Ajay Bulusu,Co-founder,Singapore,NextBillion.ai
Ajay Tyagi,Founder and CEO,"Austin, TX",Rialtes Technologies
Ajay Khanna,CEO & Founder,"Reston, VA",Tellius Inc
Ajay Khari,"Global Vice President, Market Innovation and Transformation",Dubai - United Arab Emirates,Meltwater
Ajay Bhalla,"President, Cyber and Intelligence Solutions",United Kingdom,Mastercard
Aji Abraham,Founder and CEO,"Chicago, IL",Armia Systems Inc.
Ajish George,"Managing Director, Cyber Data Science","Baltimore, MD",State Street
Akaash Ramakrishnan,COO,"Pittsburgh, PA",AdSkate Inc
